epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
91,139744,1.22918,0.71346,0.01078,0.7632,0.70149,0.77071,0.46009,0.95069,0.69506,0.01126,0.00034227,0.00034227,0.00034227
92,141380,1.23398,0.71838,0.01074,0.76075,0.70214,0.77069,0.46027,0.95244,0.69259,0.01129,0.000296546,0.000296546,0.000296546
93,142877,1.22772,0.7113,0.01053,0.76441,0.70202,0.77129,0.46026,0.95298,0.69211,0.0113,0.000255513,0.000255513,0.000255513
94,144374,1.21415,0.69529,0.01047,0.77085,0.69813,0.77108,0.46014,0.95299,0.69284,0.01129,0.000219212,0.000219212,0.000219212
95,145876,1.21319,0.68777,0.01034,0.75952,0.70397,0.7709,0.45994,0.95378,0.6917,0.01131,0.000187678,0.000187678,0.000187678
96,147373,1.20952,0.6901,0.0103,0.76388,0.703,0.77093,0.45968,0.95445,0.692,0.01133,0.000160943,0.000160943,0.000160943
97,148867,1.2116,0.69118,0.01033,0.76203,0.70335,0.77119,0.45971,0.95334,0.69333,0.0113,0.000139032,0.000139032,0.000139032
98,150427,1.19679,0.68643,0.01033,0.76428,0.70246,0.7714,0.45986,0.95384,0.69256,0.0113,0.000121968,0.000121968,0.000121968
99,151938,1.20868,0.67736,0.01023,0.76358,0.70394,0.77075,0.45958,0.95342,0.69397,0.01128,0.000109768,0.000109768,0.000109768
100,153448,1.20412,0.67684,0.01006,0.76672,0.70218,0.77062,0.45952,0.95395,0.69364,0.01129,0.000102443,0.000102443,0.000102443
